"G_CP [um]","L_CP [um]","Freq [GHz]","ang_rad(S(2,1)) []","mag(S(2,1)) []"
31,200,7.1198275,-0.808899054653965,0.888244824171838
31,200,7.119835,-0.815470904777405,0.885213533929114
31,200,7.1198425,-0.822228258829863,0.882056814652953
31,200,7.11985,-0.829178440125545,0.878767999962993
31,200,7.1198575,-0.836329121379183,0.875340006912612
31,200,7.119865,-0.843688342357769,0.871765307619312
31,200,7.1198725,-0.851264528237012,0.868035899006914
31,200,7.11988,-0.85906650864945,0.864143270567084
31,200,7.1198875,-0.867103537386249,0.860078370059385
31,200,7.119895,-0.875385312708426,0.855831567074457
31,200,7.1199025,-0.883921998191167,0.851392614403708
31,200,7.11991,-0.892724244012945,0.846750607173017
31,200,7.1199175,-0.901803208579308,0.841893939718835
31,200,7.119925,-0.911170580315915,0.836810260229094
31,200,7.1199325,-0.920838599450183,0.831486423200591
31,200,7.11994,-0.930820079540033,0.825908439824639
31,200,7.1199475,-0.94112842845897,0.820061426476121
31,200,7.119955,-0.951777668502001,0.81392955155223
31,200,7.1199625,-0.962782455149201,0.807495981038153
31,200,7.11997,-0.974158094015831,0.80074282325562
31,200,7.1199775,-0.985920555352076,0.793651073437185
31,200,7.119985,-0.998086485368454,0.786200558933785
31,200,7.1199925,-1.0106732135568,0.778369886062027
31,200,7.12,-1.02369875497771,0.770136389883592
31,200,7.1200075,-1.03718180637692,0.761476088472667
31,200,7.120015,-1.05114173476379,0.752363643603548
31,200,7.1200225,-1.06559855691919,0.742772330169783
31,200,7.12003,-1.08057290805807,0.732674017118647
31,200,7.1200375,-1.09608599765727,0.72203916319013
31,200,7.120045,-1.11215955018714,0.710836831342165
31,200,7.1200525,-1.12881572828257,0.699034726341272
31,200,7.12006,-1.14607703558311,0.68659926070927
31,200,7.1200675,-1.16396619632814,0.673495654856184
31,200,7.120075,-1.1825060085288,0.659688077972651
31,200,7.1200825,-1.20171916744019,0.645139836883646
31,200,7.12009,-1.22162805605445,0.629813620590921
31,200,7.1200975,-1.24225449935411,0.613671808660434
31,200,7.120105,-1.26361947931365,0.596676851741104
31,200,7.1201125,-1.285742808232,0.578791732151235
31,200,7.12012,-1.3086427584802,0.559980511895391
31,200,7.1201275,-1.3323356479827,0.540208973937871
31,200,7.120135,-1.35683538213073,0.519445360379218
31,200,7.1201425,-1.38215295459317,0.497661208078975
31,200,7.12015,-1.40829591187712,0.474832277926247
31,200,7.1201575,-1.43526778912765,0.45093956860472
31,200,7.120165,-1.46306752784414,0.425970399048072
31,200,7.1201725,-1.49168888958333,0.399919536172377
31,200,7.12018,-1.52111988331715,0.372790336032902
31,200,7.1201875,-1.55134222755133,0.34459585788761
31,200,7.120195,-1.58233087144779,0.315359902252624
31,200,7.1202025,-1.61405360137133,0.285117917047308
31,200,7.12021,-1.64647076033317,0.253917711080111
31,200,7.1202175,-1.67953510683333,0.22181991278086
31,200,7.120225,-1.71319183589757,0.18889811507394
31,200,7.1202325,-1.74737877618385,0.155238655540516
31,200,7.12024,-1.78202675445708,0.120939994693992
31,200,7.1202475,-1.81706003500085,0.0861116742049339
31,200,7.120255,-1.85239618451436,0.05087286022256
31,200,7.1202625,-1.88793273024007,0.0153505027250661
31,200,7.12027,1.21790743048545,0.020322832058166
31,200,7.1202775,1.18219059566127,0.0560113750438476
31,200,7.120285,1.14651081003425,0.0915787143382681
31,200,7.1202925,1.11096924105142,0.126890389953171
31,200,7.1203,1.0756554624659,0.161816409457717
31,200,7.1203075,1.04065468023786,0.196233575732377
31,200,7.120315,1.00604731420486,0.230027532859742
31,200,7.1203225,0.971908156386355,0.263094456685475
31,200,7.12033,0.938305609636012,0.295342341783988
31,200,7.1203375,0.90530110011814,0.326691863104467
31,200,7.120345,0.872948686597523,0.35707681615268
31,200,7.1203525,0.841294866220144,0.386444161837773
31,200,7.12036,0.810378564099299,0.414753719745733
31,200,7.1203675,0.780231286311807,0.441977565626066
31,200,7.120375,0.750877411209148,0.468099195310532
31,200,7.1203825,0.722334591562276,0.493112518733385
31,200,7.12039,0.694614239879485,0.517020744799102
31,200,7.1203975,0.667722070383165,0.539835212048047
31,200,7.120405,0.641658673713322,0.561574212034113
31,200,7.1204125,0.616420103450064,0.582261843584119
31,200,7.12042,0.591998457167207,0.60192692704388
31,200,7.1204275,0.56838243823548,0.620601999208732
31,200,7.120435,0.545557888032129,0.638322402080225
31,200,7.1204425,0.523508281328368,0.655125472196439
31,200,7.12045,0.502215180262786,0.671049832184591
31,200,7.1204575,0.481658644591513,0.686134782210466
31,200,7.120465,0.461817597674311,0.700419786177667
31,200,7.1204725,0.442670149079641,0.713944045599303
31,200,7.12048,0.42419387564878,0.726746152984617
31,200,7.1204875,0.40636606364753,0.738863816012547
31,200,7.120495,0.389163914941545,0.750333643814746
31,200,7.1205025,0.372564720529843,0.761190986867157
31,200,7.12051,0.356546004682748,0.771469822614455
31,200,7.1205175,0.341085642991008,0.781202679534351
31,200,7.120525,0.32616195743388,0.790420593116026
31,200,7.1205325,0.311753791407157,0.799153087959952
31,200,7.12054,0.29784056743456,0.807428180932407
31,200,7.1205475,0.284402330015879,0.815272401020373
31,200,7.120555,0.271419775832956,0.822710822163445
31,200,7.1205625,0.258874273301428,0.82976710591441
31,200,7.12057,0.246747873200059,0.836463551312717
31,200,7.1205775,0.235023311905861,0.84282114979869
31,200,7.120585,0.223684008573755,0.848859643387972
31,200,7.1205925,0.212714057395066,0.854597584675155
